,position,company_name,rating,location,salary,country,days,salary_num,date
1291,"GDPR Business Analyst (Spanish, Data Privacy)",Head Resourcing Limited,,Glasgow,£325 - £350 a day,England,30.0,94155.75000000001,2020-05-17
1292,Senior Data Analyst,RELX Group,,Oxford,nan,England,30.0,,2020-05-17
1293,Statistical Healthcare Analyst,Metrica Recruitment,,London,£30000 - £34000 a year,England,30.0,33300.0,2020-05-17
1294,Equities Data Science Senior Analyst,CITI,,Belfast,nan,England,30.0,,2020-05-17
1295,IT Business Analyst,Pracyva Limited,,London,£36000 - £40000 a year,England,30.0,39960.0,2020-05-17
1296,Sr. Insights Data Analyst,Hydrogen Group,,London,£245 a week,England,30.0,14141.400000000001,2020-05-17
1297,Business Analyst,LGC Limited,,Twickenham,nan,England,30.0,,2020-05-17
1298,Data Analyst III,Virtus Partners,,London,nan,England,30.0,,2020-05-17
1299,Business Analyst,BioAutomation,,Twickenham,nan,England,30.0,,2020-05-17
1300,Headcount Planning & Analysis Analyst,Finastra,,London,nan,England,30.0,,2020-05-17
1301,Credit Risk Analyst,Studio Retail Ltd,,Accrington BB5,nan,England,27.0,,2020-05-20
1302,Data Analyst,Ellandi Management Limited,,London,nan,England,11.0,,2020-06-05
1303,BI Reporting Manager,City & County Healthcare,,Altrincham,£43000 - £48000 a year,England,12.0,47730.00000000001,2020-06-04
1304,Digital Data Analyst,Aspire,,Kent,£30000 - £40000 a year,England,17.0,33300.0,2020-05-30
1305,Behavioral Insight Analyst,Spencer Clarke Group,,Hackney,£203 - £230 a day,England,12.0,58811.130000000005,2020-06-04
1306,Quantitative Risk Analyst - Commodities & Markets,Eversearch,,London,£75000 - £90000 a year,England,24.0,83250.00000000001,2020-05-23
1307,"Data Analyst (f/m/d) - Cologne, Paderborn or remote",DeepL GmbH,,Home Office,nan,Germany,20.0,,2020-05-27
1308,Data Analyst Intern (m/f/d),Acanthos Ventures GmbH,,München,nan,Germany,30.0,,2020-05-17
1309,Praktikant (m/w/d) Data Analyst | Intern Data Analyst (f/m/d...,Factory Market Retail GmbH,4.0,Berlin,nan,Germany,0.0,,2020-06-16
1310,Data Analyst,Alexion Partners,,Bonn,nan,Germany,30.0,,2020-05-17
1311,Data Analyst (m/w/d) gesucht,Hanseatic Statistics,,Hamburg,27 € pro Stunde,Germany,6.0,51678.0,2020-06-10
1312,Intern Data Analyst (m/f/d),UniCredit Bank,3.9,München,nan,Germany,7.0,,2020-06-09
1313,Data Analyst (w/m/d) Digitalisierung Kundenservice,Gesellschaft: EnBW Energie Baden-Württemberg AG,,Karlsruhe,nan,Germany,6.0,,2020-06-10
1314,Data Analyst,Fy,,Berlin,nan,Germany,30.0,,2020-05-17
1315,Data Analyst (m/f/d),DONE! Berlin,,Berlin-Kreuzberg,nan,Germany,5.0,,2020-06-11
1316,Data Analyst (m/f/d),REE,,Berlin,nan,Germany,21.0,,2020-05-26
1317,JUNIOR DATA ANALYST,ePetWorld GmbH,,München,nan,Germany,0.0,,2020-06-16
1318,Medical Data Analyst / Data Scientist (m/w/d),Rhön Klinikum,,Bad Neustadt an der Saale,nan,Germany,30.0,,2020-05-17
1319,Data Analyst (m/f/d),&ever | Farmers Cut GmbH,,Hamburg,nan,Germany,30.0,,2020-05-17
1320,Game Data Analyst (m/f/d),Huuuge Games,,Berlin,nan,Germany,30.0,,2020-05-17
1321,Data Analyst (m/f/d),Michael Page,3.5,Düsseldorf,80000 € pro Jahr,Germany,30.0,153120000.0,2020-05-17
1322,Senior Data Analyst (f/m/diverse),Eurowings Digital GmbH,4.0,Köln,nan,Germany,4.0,,2020-06-12
1323,"Data Analyst Course Writer - SQL, Python (Freelance, Remote)...",CareerFoundry GmbH,,Deutschland,nan,Germany,30.0,,2020-05-17
1324,Data Analyst / Data Engineer (m/f/d),uptodate Ventures,,München,nan,Germany,23.0,,2020-05-24
1325,Data analyst / Business analyst - F/H,autobiz,,Berlin,nan,Germany,30.0,,2020-05-17
1326,Data Analyst (m/f/d),Goreha GmbH,,Berlin,nan,Germany,30.0,,2020-05-17
1327,Data Analyst (w/m/d),European Energy Exchange AG,,Deutschland,nan,Germany,3.0,,2020-06-13
1328,Junior Data Analyst (m/f/d),Creakom GmbH für kreative Kommunikation & Business...,,München,nan,Germany,30.0,,2020-05-17
1329,VIE Data analyst / Business analyst - F/H,autobiz,,Berlin,nan,Germany,13.0,,2020-06-03
1330,Web & Data Analyst (w/m/divers),Otto (GmbH & Co KG),3.6,Hamburg,nan,Germany,30.0,,2020-05-17
1331,Data Analyst (m/f/d),Creakom GmbH für kreative Kommunikation & Business...,,München,nan,Germany,30.0,,2020-05-17
1332,Data Analyst (m/w/d),Triple A Internetshops GmbH,,Bielefeld,nan,Germany,28.0,,2020-05-19
1333,Data Analyst (f/m/x),Amorelie - Sonoma Internet GmbH,3.7,Berlin,nan,Germany,11.0,,2020-06-05
1334,Analyst – Corporate Data & Performance (m/f/d),TeamViewer Global,3.6,Berlin,nan,Germany,9.0,,2020-06-07
1335,Junior Market Research Analyst (full-time),yStats.com GmbH & Co. KG,,Hamburg,nan,Germany,7.0,,2020-06-09
1336,Data Analyst (d/f/m),Cognizant,3.9,München,nan,Germany,16.0,,2020-05-31
1337,Wissenschaftlicher Mitarbeiter / Senior Legal Data Analyst (...,Gansel Rechtsanwälte,,Berlin,nan,Germany,21.0,,2020-05-26
1338,(Junior) Data Engineer (m/f/d),Artefact,,Hamburg,nan,Germany,30.0,,2020-05-17
1339,Clinical Analyst,Futurios.com,,Berlin,33000 € - 56000 € pro Jahr,Germany,18.0,63162000.0,2020-05-29
1340,ESG Index Analyst (m/f/d) Equity Product Development,Solactive AG,,Frankfurt am Main,nan,Germany,3.0,,2020-06-13
1341,Data Analyst (m/w/d) - Schwerpunkt Bewegtbild,Axel Springer,,Berlin,nan,Germany,30.0,,2020-05-17
1342,Freelance Data Analysis Mentors/Tutors (f/m/d),CareerFoundry GmbH,,Deutschland,nan,Germany,30.0,,2020-05-17
1343,Data Analyst - Praktikum,LOLOCO,,Köln,nan,Germany,30.0,,2020-05-17
1344,Data Analyst (Machine Learning) (m/w/d),IKOR AG,,Au,nan,Germany,30.0,,2020-05-17
1345,LOGISTIC SUPPORT ANALYST (M/F/D),Clincase,,Berlin,nan,Germany,14.0,,2020-06-02
1346,Data Warehouse Analyst (m/w/d),IKOR AG,,Hamburg,nan,Germany,30.0,,2020-05-17
1347,Praktikant / Werksstudent (m/w/x) Data-Analyst,CARTONARA GmbH Co. KG,,Northeim,nan,Germany,30.0,,2020-05-17
1348,Market Analyst (Feed),Agrifoodcareer,,Bremen,3000 € pro Monat,Germany,5.0,3000.0,2020-06-11
1349,Data Analyst – Business Intelligencem (m/f/d),BuildingMinds,,Berlin,nan,Germany,30.0,,2020-05-17
1350,Business Intelligence Reporting Analyst,AAX,,Berlin,nan,Germany,30.0,,2020-05-17
1351,Data Analyst - Marketing Insights (m/f/d),​Fit Analytics GmbH,,Berlin,nan,Germany,2.0,,2020-06-14
1352,Junior Data Consultant,Artefact,,Hamburg,nan,Germany,30.0,,2020-05-17
1353,Game Data Analyst - Hidden Object Game,Wooga,,Berlin,nan,Germany,30.0,,2020-05-17
1354,(Junior) Data Analyst - Business Intelligence,ABOUT YOU GmbH,,Hamburg,nan,Germany,25.0,,2020-05-22
1355,Data Analyst,MOINsure GmbH,,Rostock,nan,Germany,12.0,,2020-06-04
1356,Data Analyst (m/w/d),datapine GmbH,,Berlin,nan,Germany,30.0,,2020-05-17
1357,Data Analyst,luna-park GmbH,,Köln,nan,Germany,30.0,,2020-05-17
1358,GEN-C Graduate Program - AI / Analytics / Data Science / BI...,Cognizant,3.9,Frankfurt am Main,nan,Germany,30.0,,2020-05-17
1359,Data Analyst / Data Engineer (m/w/d),uptodate Ventures,,München,nan,Germany,21.0,,2020-05-26
1360,Business Intelligence (BI) Manager / Data Analyst (m/w/d),G+J Medien GmbH,4.8,Hamburg,nan,Germany,30.0,,2020-05-17
1361,Data Engineer (m/w/t),Quandoo GmbH,3.1,Berlin,nan,Germany,30.0,,2020-05-17
1362,Reporting Engineer / Data Analyst (m/w/d),mayato GmbH,4.8,Deutschland,nan,Germany,30.0,,2020-05-17
1363,"Global Supply Analyst, Logistics Freight (m/w/d) - Gigafacto...",Tesla,3.5,Berlin,nan,Germany,30.0,,2020-05-17
1364,Customer Data Analyst (m/w/d),Vodafone,3.9,Düsseldorf,nan,Germany,12.0,,2020-06-04
1365,Business Intelligence Analyst - Digital Health (m/f/d),Project A Services GmbH & Co. KG,,Berlin,nan,Germany,30.0,,2020-05-17
1366,Business System Analyst (m/f/d),Acer Computer GmbH,4.5,Ahrensburg,nan,Germany,30.0,,2020-05-17
1367,Data Analyst (m/w/d) Versicherungscenter,CHECK24 Versicherungsservice GmbH,3.6,München,nan,Germany,3.0,,2020-06-13
1368,ICQA Data Analyst (m/w/d),Amazon Logistik Suelzetal GmbH,3.6,Sülzetal,nan,Germany,30.0,,2020-05-17
1369,Analyst Investment Consulting (f/m/d),XTP AG,,Frankfurt am Main,nan,Germany,30.0,,2020-05-17
1370,Data Analyst (m/w/d),ARUMedia,,Stuttgart,nan,Germany,30.0,,2020-05-17
1371,BI - Data Analyst Developer (gn),SoftwareONE,,München,nan,Germany,30.0,,2020-05-17
1372,Data Analyst (m/w/d),ISS Facility Services Holding GmbH,3.5,Düsseldorf,nan,Germany,12.0,,2020-06-04
1373,Junior Data & Visualization Engineer (m/w/d),Thomann.io,,Coburg,nan,Germany,30.0,,2020-05-17
1374,Business Planning Junior Analyst (m/f/x),Hyundai,4.0,Frankfurt am Main,nan,Germany,30.0,,2020-05-17
1375,Data Science Immersive Instructor,GA Instructor,,Berlin,nan,Germany,30.0,,2020-05-17
1376,Data Scientist / Data Analyst (m/w/d),Mediengruppe Pressedruck,,Augsburg,nan,Germany,19.0,,2020-05-28
1377,Global Sourcing Data Analyst*,PERI,3.7,Ulm,nan,Germany,30.0,,2020-05-17
1378,Analyst – EU Power & Carbon Markets,RELX Group,,Karlsruhe,nan,Germany,30.0,,2020-05-17
1379,Digital Marketing Analyst (m/w/d),nvb gmbh,,Deutschland,nan,Germany,4.0,,2020-06-12
1380,Data Analyst (m/w/d),auticon GmbH,,Berlin,nan,Germany,30.0,,2020-05-17
1381,Business Intelligence Analyst,Kaia Health,,München,nan,Germany,18.0,,2020-05-29
1382,Oncology Data Analyst,Veeva Systems,,Frankfurt am Main,nan,Germany,30.0,,2020-05-17
1383,Business Intelligence Analyst,Systems Plus,,Stuttgart,nan,Germany,30.0,,2020-05-17
1384,M&A Analyst / Associate,LUXCARA GmbH,,Hamburg,nan,Germany,30.0,,2020-05-17
1385,"Business Analyst für Data Driven Automation (Process Mining,...","CGI Group, Inc.",3.6,Hamburg,nan,Germany,30.0,,2020-05-17
1386,Contract Operations Analyst (m/f/d),Statkraft,,Düsseldorf,nan,Germany,11.0,,2020-06-05
1387,Sr. Business Analyst (m/f/d),CYBEX,,Bayreuth,nan,Germany,30.0,,2020-05-17
1388,Data Analyst Kostenmanagement m/w/d,DZ Bank,4.2,Frankfurt am Main,nan,Germany,10.0,,2020-06-06
